"","year","tot.Mean","tot.Median","tot.X.025","tot.X.975","tot.X.05","tot.X.95","nat.Mean","nat.X.025","nat.X.975","nat.X.05","nat.X.95","obs.spawn","ESU"
"1",1995,110.326560059048,83.728089899997,23.3060745581977,357.679792067888,28.9638963253713,275.086950176545,NA,NA,NA,NA,NA,NA,"Snake River Sockeye Salmon ESU"
"2",1996,100.023805101106,91.7357399271144,38.564271962389,211.873669921422,44.5889313950943,182.975974161138,NA,NA,NA,NA,NA,120,"Snake River Sockeye Salmon ESU"
"3",1997,84.4012147134475,78.3188081691595,37.15901597476,167.939542011411,42.278835295429,147.03844878136,NA,NA,NA,NA,NA,80,"Snake River Sockeye Salmon ESU"
"4",1998,73.9291058088525,66.6518082102692,22.8517879228843,166.718226215178,27.8751195148165,143.145062551625,NA,NA,NA,NA,NA,NA,"Snake River Sockeye Salmon ESU"
"5",1999,60.9517060463445,54.7145676908583,21.3842159276741,135.454120413407,24.6578980418734,117.972065441797,NA,NA,NA,NA,NA,21,"Snake River Sockeye Salmon ESU"
"6",2000,109.032758623512,102.752087558418,50.4641473687519,203.41272828177,57.2665843768974,181.520068999853,3.92517931044644,1.81670930527507,7.32285821814373,2.0615970375683,6.53472248399471,166,"Snake River Sockeye Salmon ESU"
"7",2001,119.409942088975,112.396713697578,55.8159678382506,224.307796912911,63.0434101469719,199.318776718022,6.08990704653774,2.84661435975078,11.4396976425585,3.21521391749556,10.1652576126191,79,"Snake River Sockeye Salmon ESU"
"8",2002,179.956244369307,169.804959962855,86.3892454937936,331.883878214309,96.9732573489143,296.932463079808,4.67886235360197,2.24612038283863,8.62898083357203,2.52130469107177,7.720244040075,189,"Snake River Sockeye Salmon ESU"
"9",2003,248.226828404649,233.447205384016,117.381224185388,467.425865955198,131.685021444488,412.941355368784,NA,NA,NA,NA,NA,312,"Snake River Sockeye Salmon ESU"
"10",2004,262.445205573522,247.90988704202,127.813745123224,482.186281328429,143.105340731851,429.372638360946,NA,NA,NA,NA,NA,244,"Snake River Sockeye Salmon ESU"
"11",2005,281.283023969988,265.425625599556,131.5210306034,527.749290039675,147.955947477839,468.596852987948,NA,NA,NA,NA,NA,176,"Snake River Sockeye Salmon ESU"
"12",2006,429.340368335321,404.882243924184,208.357583666429,795.097138128623,234.821929103445,704.370039608928,NA,NA,NA,NA,NA,465,"Snake River Sockeye Salmon ESU"
"13",2007,568.2310683304,535.037626227065,276.310637983976,1056.35236448111,309.728460549478,937.138384090582,NA,NA,NA,NA,NA,498,"Snake River Sockeye Salmon ESU"
"14",2008,831.718302569345,781.334413737314,387.04890072096,1576.92854279864,434.366846438469,1398.92591635485,103.133069518599,47.994063689399,195.539139307032,53.8614889583702,173.466813628002,913,"Snake River Sockeye Salmon ESU"
"15",2009,1111.41423784556,1037.88369305916,488.997180818613,2159.28578324005,555.286543821345,1910.03557824923,11.1141423784556,4.88997180818613,21.5928578324005,5.55286543821345,19.1003557824923,1329,"Snake River Sockeye Salmon ESU"
"16",2010,1268.97834960427,1189.94702678892,552.630544204018,2437.81252624523,623.566127229168,2175.90427898266,63.4489174802136,27.6315272102009,121.890626312261,31.1783063614584,108.795213949133,1577,"Snake River Sockeye Salmon ESU"
"17",2011,1211.64907140629,1135.35165513726,548.921412833657,2330.65115285818,616.999941346242,2066.19883181111,47.2543137848452,21.4079351005126,90.8953949614691,24.0629977125035,80.5817544406332,1546,"Snake River Sockeye Salmon ESU"
"18",2012,902.803237244539,850.778993243772,440.017310372693,1664.67273062159,491.308533055506,1474.53710566326,13.5420485586681,6.60025965559039,24.9700909593238,7.3696279958326,22.1180565849489,795,"Snake River Sockeye Salmon ESU"
"19",2013,727.401056635166,684.516079217595,320.755141286162,1384.03769931961,364.489876500397,1235.37317259552,71.2853035502463,31.4340038460438,135.635694533322,35.7200078970389,121.066570914361,346,"Snake River Sockeye Salmon ESU"
"20",2014,1094.49913076387,1017.24627059378,508.281362311615,2132.53475383838,571.948479374937,1889.06222013359,139.001389607011,64.5517330135751,270.831913737474,72.637456880617,239.910901956966,2072,"Snake River Sockeye Salmon ESU"
"21",2015,816.473371254287,771.287842820819,387.371163298335,1519.21615533823,436.450036417828,1347.48941735388,NA,NA,NA,NA,NA,494,"Snake River Sockeye Salmon ESU"
"22",2016,958.270385415972,904.72396735253,459.31862793078,1768.66731143624,516.406331890963,1577.01863252154,NA,NA,NA,NA,NA,1091,"Snake River Sockeye Salmon ESU"
"23",2017,942.808605279215,888.479553239088,447.138376598264,1748.72944418924,505.202193631154,1559.44080391719,NA,NA,NA,NA,NA,1129,"Snake River Sockeye Salmon ESU"
"24",2018,743.196582041467,696.458618281048,340.672479059287,1416.79703531204,387.398454849634,1256.37141576379,1.48639316408293,0.681344958118573,2.83359407062409,0.774796909699269,2.51274283152758,532,"Snake River Sockeye Salmon ESU"
"25",2019,731.660320342095,674.562260988052,327.454474474861,1470.88426367601,368.500578450382,1287.27294739762,NA,NA,NA,NA,NA,510,"Snake River Sockeye Salmon ESU"
"26",2020,902.835873016965,827.879261195718,363.24434678355,1887.76367862943,420.93333586549,1637.63786350324,NA,NA,NA,NA,NA,893,"Snake River Sockeye Salmon ESU"
